merchant_name,category,random_products,merchant_description
"Ayam Gacoan,Waru",Aneka nasi/Ayam & bebek/Bakmie,"['Nasgoyaki (Nasi Goreng Teriyaki)', 'Es Suta (Susu Taro)', 'BeramalLeminerale - Paket Le Minerale 1500ml X Triple Ayam Geprek', 'Es Nutrisari Cincau', 'Teh Hangat']","Ayam Gacoan di Waru adalah pilihan tepat bagi pecinta aneka nasi, ayam, bebek, dan bakmie. Menawarkan berbagai hidangan lezat seperti Nasgoyaki dan beragam minuman segar seperti Es Suta dan Es Nutrisari Cincau, setiap rasa dijamin menggugah selera. Nikmati pengalaman kuliner yang memuaskan dengan kombinasi makanan dan minuman yang sempurna untuk menemani santapan Anda."
Ayu Frozen Food,Barat/Cepat saji/Jajanan,"['Siomay Ayam Sayur Umia-mi Free Saos Pedas Manis', 'Cimol Wenak Sdh Free 4 Bumbu Aneka Rasa', 'Cireng Koin Enak Gurih', 'Tahu Bawang Ratu', 'Tenpura Ikan Olahan ILM 500gr']","Ayu Frozen Food adalah toko yang menyediakan aneka sajian Barat dan cepat saji, serta jajanan lezat untuk memudahkan pengalaman kuliner Anda. Dengan produk berkualitas seperti siomay ayam sayur, cimol dengan berbagai bumbu, dan cireng koin yang gurih, Ayu Frozen Food menjadi pilihan tepat untuk menikmati hidangan praktis dan enak di rumah. Temukan berbagai pilihan makanan beku yang siap saji untuk memuaskan selera Anda kapan saja."
BANANESH,Jajanan/Cepat saji,"['Sawo Madu', 'Sambal Teri', 'Sambal Bawang', 'Strawberry Ukuran Besar', 'Strawberry']","BANANESH adalah toko jajanan cepat saji yang menyajikan berbagai pilihan camilan lezat dan segar. Dengan fokus pada kualitas bahan, kami menawarkan produk seperti Sawo Madu yang manis dan buah Strawberry ukuran besar yang juicy. Nikmati juga sambal khas kami, seperti Sambal Teri dan Sambal Bawang, untuk melengkapi setiap hidangan dengan cita rasa yang menggugah selera."
BEBEK SIMAYAKHO SURABAYA,Ayam & bebek,"['PAKET BEBEK GORENG', 'PAKET NASI TAHU TEMPE GORENG', 'PAKET AYAM GORENG', 'TEH/ES TEH', 'JERUK/ES JERUK']","BEBEK SIMAYAKHO SURABAYA adalah tempat yang tepat bagi pecinta ayam dan bebek dengan pilihan menu yang menggugah selera. Nikmati berbagai paket lezat seperti Paket Bebek Goreng dan Paket Ayam Goreng, serta kombinasi sempurna dengan nasi dan tahu tempe. Lengkapi santapan Anda dengan pilihan minuman segar seperti teh atau jeruk untuk pengalaman kuliner yang lebih nikmat."
BICOPI GUNUNGANYAR,Minuman/Aneka nasi,"['Tahu Isi Jamur', 'Lumpia Ayam Kulit Tahu', 'Strawberry Mojito', 'Bicopi Chocolate Hazelnut', 'Bicopi Chocolate Oreo']","BICOPI GUNUNGANYAR adalah pilihan tepat bagi pencinta kuliner yang ingin menikmati aneka nasi dan minuman segar. Dengan menu kreatif seperti Tahu Isi Jamur dan Strawberry Mojito, setiap hidangan hadir dengan rasa yang menggugah selera. Temukan perpaduan unik cita rasa pada produk seperti Bicopi Chocolate Hazelnut dan Lumpia Ayam Kulit Tahu yang siap memanjakan lidah Anda."
"Bakso Biru, Sidoarjo",Bakso & soto,"['Tahu Putih', 'Paket Komplit 2', 'Double Jus Manja', 'Paket Komplit 6', 'Bakso Beranak']","Bakso Biru di Sidoarjo adalah tempat yang tepat untuk menikmati kelezatan bakso dan soto khas Indonesia. Dengan berbagai pilihan menu, seperti Bakso Beranak yang menggugah selera dan Paket Komplit yang memuaskan, setiap suapan menawarkan kombinasi rasa yang nikmat. Nikmati juga variasi side dish seperti Tahu Putih, yang membuat pengalaman kuliner Anda semakin lengkap."
Bakso Kenari,Aneka nasi/Bakso & soto/Cepat saji,"['Mantap 5', 'Mantap 1', 'Mantap 3', 'Mantap 4', 'Seger 3']","Bakso Kenari menawarkan aneka hidangan nasi, bakso, dan soto yang siap memanjakan selera Anda. Dengan garam rasa yang pas dan pilihan cepat saji yang menggugah, kami menjamin kepuasan di setiap suapan. Cicipi pilihan menu kami seperti Mantap 5, Mantap 1, dan Seger 3 untuk pengalaman kuliner yang tak terlupakan."
Bakso Lava,Bakso & soto,"['Bakso Lava  .Poyo .', 'Bakso Lava Sosis', 'Lava Daging', 'Bakso Lava Poyo', 'Lava Jumbo Kua Pedas']","Bakso Lava adalah toko yang menyajikan berbagai hidangan khas Indonesia, dengan fokus utama pada bakso dan soto. Menggabungkan cita rasa otentik dengan bahan berkualitas, setiap produk seperti Bakso Lava Poyo dan Lava Jumbo Kua Pedas menawarkan pengalaman kuliner yang memuaskan. Temukan ragam pilihan yang menggugah selera di sini dan nikmati kelezatan dalam setiap suapan."
Bakso Tutus,Minuman/Cepat saji/Bakso & soto,"['Bakso Mercon', 'Tahu Putih', 'Josua', 'Juice Mangga', 'Juice Buah Naga']","Bakso Tutus adalah tempat yang tepat bagi pecinta kuliner cepat saji, khususnya penggemar bakso dan soto. Dengan berbagai pilihan menu dari Bakso Mercon yang pedas menggugah selera hingga Tahu Putih yang ringan, serta minuman segar seperti Juice Mangga dan Juice Buah Naga, Anda akan menemukan kombinasi cita rasa yang memuaskan di setiap kunjungan. Nikmati pengalaman bersantap yang cepat dan lezat hanya di Bakso Tutus."
Bandeng Karimanasi,Aneka nasi/Cepat saji/Seafood,"['Goreng Otak Otak Bandeng', 'Goreng Otak Otak Bandeng', 'GORENG Presto Bandeng Medium Isi 4', 'Beku Bandeng Bakar Cabut Duri', 'BEKU Otak Otak Bandeng']","Bandeng Karimanasi adalah toko yang menawarkan berbagai menu aneka nasi, cepat saji, dan seafood yang menggugah selera. Kami menyajikan hidangan khas berbahan dasar bandeng, seperti Goreng Otak Otak Bandeng dan GORENG Presto Bandeng, yang cocok untuk dinikmati kapan saja. Temukan juga pilihan praktis seperti Beku Bandeng Bakar Cabut Duri yang memudahkan Anda dalam menyajikan hidangan lezat di rumah."
"Baraccung, Ambengan",Bakmie/Jajanan/Cepat saji,"['Siomay Crab (4pcs)', 'Nasi Ayam Latto', 'Ice Milo', 'Mie Baraccung Level 0', 'Mie Baraccung Level 2']","Baraccung Ambengan adalah toko yang menyajikan bakmie dan jajanan cepat saji yang menggugah selera. Dengan pilihan menu beragam seperti Siomay Crab yang lezat dan Mie Baraccung dengan berbagai level kepedasan, setiap pelanggan dapat menemukan hidangan yang sesuai dengan selera mereka. Nikmati juga minuman segar seperti Ice Milo untuk melengkapi pengalaman kuliner Anda di sini."
BasrenG GonjrenG,Bakso & soto/Cepat saji/Jajanan,"['GonjrenG Singer', 'Saus Creamy Cheese', 'GonjrenG Mozarella', 'Saus Gonjreng', 'Saos Hot Chili Mayo']","BasrenG GonjrenG adalah tempat terbaik untuk menikmati hidangan Bakso dan Soto yang lezat, serta berbagai jajanan cepat saji. Dengan pilihan menarik seperti GonjrenG Singer dan Saus Creamy Cheese, setiap gigitan memberikan pengalaman rasa yang unik dan memuaskan. Nikmati juga variasi saus seperti Saus Gonjreng dan Hot Chili Mayo yang akan menambah citarasa pada setiap hidangan yang Anda pilih."
Bebek NdoWer,Minuman/Aneka nasi/Ayam & bebek,"['Paket Tempe Penyet', 'Sambel Ijo', 'Es Teh', 'Nasi Hati Ampela', 'Tahu Menul']","Bebek NdoWer adalah tempat pilihan bagi pecinta kuliner yang menyajikan aneka hidangan lezat berbasis ayam dan bebek, serta menu nasi yang menggugah selera. Dengan pilihan seperti Paket Tempe Penyet dan Nasi Hati Ampela, setiap hidangan disiapkan dengan bumbu khas yang membuat rasa semakin nikmat. Jangan lupa untuk mencicipi sambal ijo dan minuman segar seperti es teh yang melengkapi pengalaman bersantap Anda."
"Belikopi, Ketintang",Kopi/Minuman/Cepat saji,"['Ropang Sarikaya', '1 Liter Kopi Susu Gula Aren', 'Caramel Machiato', 'Ropang Chick And Cheese', 'Kopi Milo']","Belikopi di Ketintang adalah tempat yang tepat untuk menikmati kopi dan minuman segar sambil mencicipi hidangan cepat saji yang menggugah selera. Dengan variasi produk seperti Ropang Sarikaya dan 1 Liter Kopi Susu Gula Aren, Anda akan menemukan kombinasi rasa yang pas untuk menemani aktivitas harian. Tak ketinggalan, menu seperti Caramel Machiato dan Ropang Chick And Cheese siap memuaskan selera Anda."
Belikopi. Ponti,Kopi/Minuman/Cepat saji,"['Taro', 'Ropang Chick And Cheese', 'Kopi Milo', 'Combo Five (5)', 'Americano']","Belikopi adalah toko yang menyajikan berbagai minuman kopi dan makanan cepat saji yang menggugah selera. Dengan pilihan unik seperti Kopi Milo dan Ropang Chick And Cheese, kami memberikan pengalaman rasa yang berbeda di setiap tegukan dan gigitan. Temukan berbagai sajian yang cocok untuk menemani waktu santai Anda, seperti Taro dan Americano, serta Combo Five (5) untuk solusi makan yang praktis dan mengenyangkan."
"Big Bananas, Siwalankerto",Jajanan,"['Banana Bites Choco White', 'Banana Bites Choco', '3 Box Banana Bites', 'Banana Bites Tiramisu', '2 Banana Roll Free 1 Banana Bites/Roll']","Big Bananas di Siwalankerto menawarkan jajanan lezat berbahan dasar pisang yang siap memanjakan lidah Anda. Dari Banana Bites dengan berbagai rasa hingga kombinasi menarik seperti Banana Roll, setiap produk dirancang untuk memberikan pengalaman rasa yang unik. Temukan kreasi pisang yang menggugah selera di setiap gigitannya dan nikmati camilan yang sempurna untuk segala suasana."
"Bing-Go, Wiyung",Minuman/Kopi,"['Black Tea', 'Brown Sugar Milk Macchiato', 'Choco Banana', 'Korean Rainbow Yogurt', 'Blueming Bundling']","Bing-Go di Wiyung menawarkan berbagai pilihan minuman yang segar dan unik, cocok untuk berbagai selera. Dari cita rasa tradisional seperti Black Tea hingga inovasi menarik seperti Brown Sugar Milk Macchiato dan Korean Rainbow Yogurt, setiap sip membawa pengalaman yang menyegarkan. Nikmati kombinasi rasa yang kreatif dan segar saat bersantai bersama teman atau sekadar bersukaria sendiri."
Bitten Coffee / Kopi,Kopi/Minuman/Aneka nasi,"['Strawberry Frappe', 'BBQ Rice Bowl', 'Kopi Hitam', 'New York Tea', 'Vanilla Frappe']","Bitten Coffee adalah tempat kenikmatan bagi pecinta kopi dan aneka hidangan lezat. Menawarkan berbagai pilihan minuman segar seperti Strawberry Frappe dan Vanilla Frappe, serta hidangan lengkap seperti BBQ Rice Bowl dan Kopi Hitam, kami siap memuaskan selera Anda. Selain itu, New York Tea kami menawarkan pilihan alternatif yang menyegarkan untuk menemani waktu santai Anda."
Bluder Cokro Gwalk,Jajanan/Roti/Sweets,"['Bluder Strawberry', 'Bluder Krumpul', 'Bluder Nutrisari', 'Bluder Green Tea', 'Bluder Kopi']","Bluder Cokro Gwalk adalah sebuah toko jajanan yang menghadirkan beragam roti manis dengan cita rasa unik dan berkualitas. Dengan pilihan seperti Bluder Strawberry dan Bluder Green Tea, setiap gigitannya menjanjikan kesegaran dan kelezatan yang tak terlupakan. Cocok untuk menemani waktu santai Anda, produk-produk kami menjadi pilihan tepat bagi pecinta roti dan sweets."
Bluder Cokro Sidoarjo,Roti,"['Bluder Nutella', 'Bluder Nanas', 'Bluder Nutrisari', 'Bluder Abon Ayam', 'Bluder Smoked Beef']","Bluder Cokro Sidoarjo adalah toko roti yang menghadirkan beragam pilihan bluder khas dengan rasa yang unik dan menggugah selera. Dengan bahan berkualitas tinggi, setiap produk, seperti Bluder Nutella dan Bluder Nanas, menawarkan cita rasa yang lezat dan kenikmatan yang sempurna untuk setiap momen. Temukan berbagai varian bluder lainnya yang siap memanjakan lidah Anda di sini."
"Boga Kitchen, Surabaya",Jepang/Aneka nasi/Cepat saji,"['Yakitori Don', 'Bundling 2 Chicken Teriyaki Bento', 'Salmon Skin', 'Sushi Salmon Hana Roll', 'Bundle Mafia B']","Boga Kitchen di Surabaya menawarkan pengalaman kuliner Jepang yang cepat saji dengan variasi menu yang menggugah selera. Nikmati aneka nasi yang terinspirasi dari cita rasa autentik Jepang, seperti Yakitori Don dan berbagai pilihan bento lezat. Setiap hidangan dipersiapkan dengan perhatian untuk menghadirkan perpaduan rasa yang sempurna, membuatnya ideal untuk menikmati santapan praktis kapan saja."
"Bourda Bakery, Perak",Roti,"['Roti Double Coklat', 'Roti Bolognese', 'Roti Coklat Keju', 'Roti Pisang Coklat', 'Roti Kacang Merah']","Bourda Bakery di Perak adalah destinasi tepat untuk pencinta roti segar yang berkualitas. Kami menawarkan berbagai pilihan roti lezat, seperti Roti Double Coklat dan Roti Bolognese, yang siap memanjakan lidah Anda. Dengan bahan-bahan pilihan dan resep yang khas, setiap gigitan merupakan pengalaman rasa yang tak terlupakan."
"Break Cafe, Sedati",Minuman/Jajanan/Kopi,"['Baso Aci Asli Garut', 'Coffee Brown Sugar', 'Coffee Hazelnut', 'Coffee Vanilla', 'Hazelnut']","Break Cafe di Sedati adalah tempat yang sempurna untuk menikmati berbagai pilihan minuman kopi dan jajanan khas yang menggugah selera. Dengan menu andalan seperti Coffee Brown Sugar dan kopi rasa Hazelnut, serta jajanan populer seperti Baso Aci Asli Garut, kami menawarkan pengalaman yang memuaskan bagi pecinta kopi dan pencinta jajanan. Nikmati suasana santai sambil mencicipi berbagai cita rasa yang kami sajikan."
Buba Caramelized,Barat/Pizza & pasta/Seafood,"['Ma Ling', 'Nasi Karamel Gurih Dada Montok', 'Buba Pasta King Prawn Untuk 2-3 Orang', 'Ayam Karamel Gurih Dada Montok (Untuk 2-3 Orang)', 'Sauted Mushroom']","Buba Caramelized adalah destinasi kuliner yang menyajikan berbagai hidangan lezat dari kategori Barat, Pizza & Pasta, serta Seafood. Dengan sentuhan karamel yang unik, kami menawarkan pengalaman rasa yang menggugah selera, seperti Nasi Karamel Gurih Dada Montok dan Buba Pasta King Prawn yang sempurna untuk dinikmati bersama keluarga. Setiap hidangan diracik dengan bahan berkualitas tinggi untuk memberikan kepuasan maksimal di setiap gigitan."
Bubur Punokawan,Jajanan/Minuman/Ayam & bebek,"['Paket 2', 'Sate Puyuh', 'Bubur Ketan Hitam Ice Cream', 'Ayam', 'Bubur Ketan Hitam Nangka']","Bubur Punokawan menawarkan beragam jajanan dan minuman khas yang menggugah selera, termasuk pilihan ayam dan bebek yang lezat. Nikmati kreasi unik seperti Bubur Ketan Hitam Ice Cream yang menyegarkan atau Sate Puyuh yang menggoyang lidah. Dengan kombinasi rasa yang kaya dan penyajian yang menarik, setiap hidangan di Bubur Punokawan siap memanjakan Anda."
"Burger Bros, Genteng",Barat/Cepat saji,"['She Caught the Chicken Burger + Es Matcha Mindfulness', 'Thai Chili Chicken Burger', 'Coffee Brownie', 'Es Sukur - Susu Kurma', 'Almond Brownie']","Burger Bros, Genteng, adalah pilihan tepat untuk Anda yang menyukai hidangan cepat saji dengan cita rasa yang unik dan menggugah selera. Menawarkan berbagai burger lezat dan camilan manis, seperti She Caught the Chicken Burger yang menggoda dan Coffee Brownie yang memuaskan, setiap sajian di sini dirancang untuk memberikan pengalaman kuliner yang memuaskan. Nikmati juga pilihan minuman segar seperti Es Sukur - Susu Kurma yang menyempurnakan setiap momen santap Anda."
Burger Kalap,Cepat saji,"['Crispy Chicken Burger 100gr', 'Paket Keluarga', 'Smash Burger 150gr', 'Paket Duo', 'Smash Burger 100gr']","Burger Kalap adalah toko cepat saji yang menawarkan berbagai pilihan burger lezat untuk memuaskan selera Anda. Dengan berbagai ukuran dan paket keluarga, kami siap menyajikan hidangan yang sempurna untuk setiap momen, dari Crispy Chicken Burger 100gr hingga Smash Burger 150gr. Nikmati juga pilihan Paket Duo untuk berbagi kebahagiaan bersama orang terkasih!"
"Burger King, Sidoarjo",Ayam & bebek/Cepat saji/Aneka nasi/Jajanan,"['BOGO Plant Based Cheeseburger', 'Mozarella Cheeseburger & Coke', 'Ice Nescafe Vanilla Latte', '4 Flamin Deals Mix Burger', 'Paket 1 pc Ayam']","Burger King Sidoarjo menyajikan pilihan menu cepat saji yang menggugah selera, mulai dari ayam dan bebek yang crispy hingga aneka nasi yang menggoda. Nikmati berbagai sajian unik seperti BOGO Plant Based Cheeseburger dan Paket 1 pc Ayam, serta jajanan ringan seperti Ice Nescafe Vanilla Latte untuk melengkapi pengalaman bersantap Anda. Dengan beragam pilihan yang memuaskan, Burger King Sidoarjo adalah tempat yang tepat untuk menikmati hidangan berkualitas dalam suasana santai."
"Burger Shot, Wiyung",Barat/Cepat saji/Jajanan,"['Hash Brown', 'Waffle Potatoes', 'Lamb Bamba', 'Potato Wedges', 'Volcano Burger']","Burger Shot di Wiyung adalah tempat yang sempurna bagi pecinta fast food yang mencari sajian lezat dan cepat. Dengan beragam pilihan menu, seperti Volcano Burger yang menggugah selera dan Waffle Potatoes yang renyah, Anda pasti akan menemukan hidangan yang memuaskan. Selain itu, tidak lupa untuk mencoba Hash Brown dan Potato Wedges sebagai pendamping yang ideal."
"COCO, Gwalk Citraland",Minuman,"['Coco Soursop', 'Ice Milk Coco', 'Coco Flesh', 'Coco Cendol', 'Avocoa']","COCO di Gwalk Citraland adalah tempat yang tepat untuk menikmati beragam minuman segar berbasis kelapa. Dengan pilihan unik seperti Coco Soursop dan Ice Milk Coco, setiap suapan menawarkan cita rasa yang menyegarkan dan menggugah selera. Temukan juga variasi lainnya, seperti Coco Flesh dan Avocoa, yang akan memanjakan lidah Anda di tengah kesibukan."
Cafelar Coffee & Eatery,Minuman/Aneka nasi/Kopi,"['Siomay Mozzarella', 'Cheese Dumpling', 'Matcha Latte', 'Paket Nonik Kenyang', 'Bola Udang']","Cafelar Coffee & Eatery adalah tempat yang sempurna bagi pecinta kopi dan penggemar kuliner. Dari aneka kopi yang menggugah selera hingga pilihan makan lezat seperti Siomay Mozzarella dan Cheese Dumpling, kami menawarkan pengalaman bersantap yang memuaskan. Nikmati juga minuman seperti Matcha Latte yang segar dalam suasana yang nyaman dan hangat."
"Cemilan Dewa, Pandean",Jajanan/Sweets/Cepat saji,"['Brownies Coklat Suka2', 'Brownies Coklat Keju', 'Brownies Nyoklat Coklat Parut', 'Pancake Durian Isi 2', 'Brownies Aneka Topping']","Cemilan Dewa, Pandean merupakan toko yang menyajikan berbagai jajanan manis dan cepat saji yang menggugah selera. Nikmati kelezatan brownies dalam berbagai variasi, seperti Brownies Coklat Suka2 dan Brownies Coklat Keju, serta pancake durian yang nikmat. Setiap produk diracik dengan bahan berkualitas untuk memuaskan pencinta camilan di setiap gigitan."
"Cendrawasih Kopi, Rest Area Aloha",Minuman/Kopi/Sate,"['Hot Salted Caramel', 'Hot Cappuccino', 'Ice Choco Tea', 'Hot Sweet Tea', 'Hot Lemon Tea']","Cendrawasih Kopi di Rest Area Aloha adalah destinasi sempurna bagi pecinta kopi dan minuman segar. Kami menawarkan berbagai pilihan minuman yang menggugah selera, mulai dari kopi hangat dengan berbagai varian rasa hingga teh yang menyegarkan. Nikmati momen santai Anda dengan produk unggulan kami, antara lain Hot Salted Caramel dan Hot Cappuccino, yang siap memanjakan lidah Anda."
"Chaophraya, Tegalsari",Thailand,"['Udang Goreng Bawang', 'Ikan Goreng Dan Saus Ikan Salad Mangga (Gurami)', 'Lemongrass Fizz', 'Salad Pepaya Muda', 'Purple Rain']","Chaophraya di Tegalsari menyajikan hidangan otentik Thailand yang menggugah selera, memberikan pengalaman kuliner yang tak terlupakan. Dalam kategori makanan dan minuman, kami menawarkan beragam pilihan lezat seperti Udang Goreng Bawang dan Salad Pepaya Muda yang segar. Nikmati juga minuman khas seperti Lemongrass Fizz yang menyegarkan, siap memanjakan lidah Anda."
"ChatThai, Rungkut",Kopi/Thailand/Minuman,"['Small Ice Milo', 'Small Ice Original Thai Tea', 'Es Koko Krunch (large)', 'Es Koko Krunch (small)', 'Brown Sugar Boba Fresh Milk (small)']","ChatThai Rungkut adalah tempat yang ideal bagi pecinta kopi dan minuman khas Thailand. Dengan berbagai pilihan segar seperti Thai tea yang otentik dan variasi es krim, pelanggan dapat menikmati cita rasa yang unik dan menggugah selera. Cobalah produk seperti Small Ice Milo dan Brown Sugar Boba Fresh Milk yang siap memanjakan lidah Anda."
"Cheskee, Pakuwon Mall",Minuman,"['Cheskoffee Aren Latte', 'Bobba Brown Fresh Milk', 'Donut With Glaze', 'Lemon Yakult', 'Genie']","Cheskee di Pakuwon Mall adalah tempat terbaik untuk memuaskan dahaga dan menikmati camilan lezat. Menawarkan berbagai minuman segar seperti Cheskoffee Aren Latte dan Lemon Yakult, serta cemilan manis seperti Donut With Glaze, Cheskee menjanjikan pengalaman yang menyenangkan bagi para pengunjung. Temukan juga pilihan boba yang menggugah selera, seperti Bobba Brown Fresh Milk, untuk melengkapi momen bersantai Anda."
"Chi Fry, Wiyung",Jajanan,"['Crispy Tofu', 'Family Package - 4', 'PROMO jomblo', 'Chicken Wings', 'Chifry Gift Set']","Chi Fry di Wiyung adalah tujuan yang tepat bagi Anda yang mencari jajanan unik dan lezat. Dengan beragam pilihan menu seperti Crispy Tofu dan Chicken Wings, serta paket keluarga yang praktis, setiap kunjungan dijamin memuaskan selera Anda. Nikmati juga promo menarik yang ditawarkan, seperti PROMO jomblo dan Chifry Gift Set, ideal untuk berbagi dengan orang tercinta."
"Cibcib Annyeong, Warkop Seket Limo",Cepat saji/Korea/Jajanan,"['Corndog Tiramisu', 'Corndog Moza', 'Sosis Bakar BBQ', 'Hottang Sosis', 'Nasi Bucket Chicken']","Cibcib Annyeong, Warkop Seket Limo adalah tujuan sempurna bagi pecinta cepat saji yang menginginkan cita rasa Korea yang menggugah selera. Dengan pilihan jajanan yang unik dan menggoda, seperti Corndog Tiramisu dan Sosis Bakar BBQ, Anda akan menemukan kombinasi yang pas untuk setiap acara. Nikmati suasana santai sambil mencicipi berbagai hidangan lezat yang siap memanjakan lidah Anda."
"Colours Cafe (CC), Domas",Bakmie/Jajanan/Aneka nasi/Minuman,"['Mie Bento Level 3', 'Milkshake Coklat', 'Siomay', 'Roti Bakar Coklat', 'Red Velvet Bubble']","Colours Cafe (CC) di Domas adalah tempat yang sempurna untuk menikmati ragam kuliner lezat. Menawarkan berbagai pilihan Bakmie, Jajanan, Aneka Nasi, dan Minuman, CC siap memanjakan lidah Anda dengan hidangan seperti Mie Bento Level 3 dan Milkshake Coklat. Jangan lewatkan juga camilan seperti Siomay dan Roti Bakar Coklat yang menarik untuk menemani waktu santai Anda."
